address	serial	pubkey	sku	denomination	batch	coin_batch_number	created_at	status	pubkey_2fa	txid
1HhDDzarFA5whgGeKkeGNd5Ha4JCBZrmJD	E186		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
12ue2NG4QFCjYMKUvDAsv2zd6HqRDFxAMa	E187		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1P2XprNPGrrdGa4bAaNYMayLMP9bLVq5yt	E188		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1EH3gNYs3s7xivTxfZkjCQ86yynjU4kCHK	E189		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1FYFtzzhNbxN2TpjhgmcLxjXjXw8CypAF8	E190		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
19ivvTcGxEGKZmGBE6iwBqwR5tfan41n4h	E191		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	failed		
1K2BD6D4c24HwSLPUwWFFQxFghStGvNJhb	E192		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1MET1dgb4tk6BXC8TZy6JZ6vWkVzyiTbUr	E193		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1DKyqm5WY4Gx8Jzng5hYr2AoXrqG1PcuCr	E194		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Novtczmhhket2dSZ8dwu4wgEVJtZRH1m5	E195		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1NkuH5ASxATDWx2Mh1hBT7QWaeTJLCRFWM	E196		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1K8pgQFDK7V8NmktdkmwiGVPtEBqTtUmUC	E197		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
13whSMQ1xbGS5QjQfqKgiKHKZxx3467SSx	E198		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1MgpeyoDDuB7B6BFv2AM1D5g4YeAicUan1	E199		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1JACZvJfFoNkUTBJ83pL6wiG7LaaCFgfKW	E200		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1AzhUXFKeepxDV6vUE1zQ1YQj15nTSkWUE	E201		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1LMm8mZZuuE5h3o3zdtMpEQtRiSpYzQM6L	E202		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
17tV3JTzrfBxv6f7cPkcjyw3nakkyh2JUM	E203		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1BNMHifppKibRQfgK6V6YiJNia6vBifjV3	E204		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1LdtqB9QWN5aEcN8UBDsjCDyTvPpsfxMFP	E205		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1G6qN5tDwRMAZb5iMVSUuoG8UJ6esfj76F	E206		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1CZehYiV16nc4vyQc1ffhNAp7GZ4yrHbHQ	E207		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1L53fsnL1pxwNusgJXrMLgrVuvDt6u4V8T	E208		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
13LinwJ6KMwbFWvJ24wRzceXK1tDx7f7h7	E209		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
17rkvjdSDQXnFt8YLBe2pdCDJ9QEHDBxY4	E210		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1HpAf3c6r6YepphEEKm2iGTGpmQYgHG8Nm	E211		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
16Lbip596botec2uwjjsxzqtoLL2K5gpGm	E212		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Jg1KA6rqfA5khhSRpuvMmLmcm8kEkDTsE	E213		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1KrLnXBVR9wPqcKCnAGdwmyB6s3AYgJwky	E214		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	failed		
17MRhNh8tmYUqmT5JKAtZkXSd3FuxwY5jP	E215		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1FWy3RPTSEoABqnV2Bkpc7z9pn6YraqpJ3	E216		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1CaV86Qt9bMHssNEa8RD8Q9HcpP2E6Yh8v	E217		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1NyiTV1GSjAhSsHsfbpt1St3DARXg9kb2T	E218		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
18tkyhWd1S9kErZt53nDiTp7mUYijTR3oZ	E219		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	failed		
1NN1or33DsB1eT2CiFCeXTu2FUTxuGoV4	E220		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	failed		
171XxMC9WZ3pdNM3KJ2uJo4Vimak46ShjX	E221		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	failed		
1NyBJ7i7ZRgKAatC4D9iWDUX1HxG6b5oDv	E222		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1PT7MZcoUR89wkJ9QAabk2S1fAGM85tsfV	E223		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Hb887MoET4WkNbVgoHvCD53kRnd8wnh4D	E224		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1PcqZ1DXNtMC7hny7QwqikXzZZoh4hNViC	E225		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1jbx9CiJQngwVvBdCPth8bXKA2hzUpSWh	E226		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
19YcpH6FgSLGEQoyYzti7FXo2q4qqDX6cx	E227		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1GNa41KNJRgHo38fFVFYQpLDaFrREuYLRP	E228		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1LD1u9vZ6GuXwkZEFW2r3Tdo25js4fpX8j	E229		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1FRLgiS8Zwz5Cu7eAdemP8gxGB96YnoscN	E230		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
182rwZqw1NekSJU7tX3CjoKxbGbKapVLDt	E231		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
14E5WoPF37XTShrJjkyhxemFCRJ3hBF4XR	E232		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
183WuQkPATd5irZTs89ruwvS8ZWJNdCdLF	E233		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1KNa1i3WaaLrKdWQvHpqW5gQJrrsq82Xgt	E234		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1JLRbetGY1qKgb7SzyNnbfLCcSDNSnw4BS	E235		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1GrTjfnVSU7bvD4s9VvggxRBBevRGL1dRQ	E236		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1CdSve7YRni1Fb4tNYY9icbPqyVdANaFRs	E237		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Csp2q2yBqzWNRmUQUs3zTDQLEoHj52Mb5	E238		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
189WnvnHNhjPEpSvz6egYigwZi9tkUbtoa	E239		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1NBc8qTnkGGVMLFM5yvdiFqMWsyKydjStQ	E240		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1DVAxDh6KQGEsv8FcEHrTfEnEAmSxfiUMJ	E241		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1avuwBR8ZZeEyc6u2RSghRKhTvQbyxAg8	E242		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1DAhmgCn8pNYMRwFosdFHqLzHkJhSVWg9x	E243		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1KCity3HqKQdo5cuHqKa2UtYqgaWEMH1V7	E244		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1EkYQC7Hjaq7u8iZPfE3MrNXMiFTzCiyTS	E245		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1MT7BVSb4miLCDE9eNg72f2k1bbJQyCwh2	E246		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1MQuZQiFA2CNgWRG5NHuB7VuH4ptRMU3JN	E247		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
16LBSy5JBdNawbYZXbNC4DTd634APrhHka	E248		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Eotow2swC9V5Z8axfwprJGQSryoiAFgUW	E249		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1BTvneEEGu331WdYNnUjoc51roDUadotLF	E250		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1PmanE7YqzAGRT4SBwFJzbmBeBKy75EX23	E251		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Em5PrGwd86azRf72MJubdAZoXoLJuB1yF	E252		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1Q2jogzwY2Q3J4pBMvdcraNxkQdE2zxBYp	E253		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
15kpcU6TwbQFjtLBD7a88NUYHBHbwDCvTy	E254		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1AVecBJ18BSbFa4EVAedhQuXuX1qq7vH6K	E255		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
19aLHPmNaHu17eeBXNGDrzcqx1mdeaPsGq	E256		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1ATgQhggQYEc8z2PoBpfkppDTP9XXACGJa	E257		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
16tHkLNvrNrCKK4AL3mNujtVjYRTeFBZ5W	E258		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
12jafF8kEQxE6nk1f74j8HbdLjqJsLmMxw	E259		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1MPB4JBTxBTpVvjLkBSQ9TnybZZfHwKWha	E260		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1GgMGGRmXGPyCoW2q4ADTYvNnP4VZtTPAu	E261		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
1BjCc19At4w7JRHyhKd4fezRi3m6DAMzRj	E262		F0107X	0	2015-06-13-1		2015-07-01 06:59:16	complete		
